Soil_type,Id,Ks,b,Porosity,Psi_s,FieldCap,WiltPoint
sand,1,4027.59,2.79,33.9,6.91831,8.48363,2.16007
loamy sand,2,1216.31,4.26,42.1,3.63078,14.6062,5.96258
sandy loam,3,451.903,4.74,43.4,14.1254,22.3241,9.9787
loam,4,291.773,5.25,43.9,35.4813,28.7069,13.8758
silty loam,5,242.686,5.33,47.6,75.8578,36.1252,17.6531
sandy clay loam,6,384.632,6.77,40.4,13.4896,25.1932,14.3365
clay loam,7,211.371,8.17,46.5,26.3027,34.119,21.385
silty clay loam,8,175.811,8.72,46.4,61.6595,38.2801,24.7106
sandy clay,9,623.799,10.73,40.6,9.77237,29.2465,20.4924
silty clay,10,116.157,10.39,46.8,32.3594,37.4266,25.9205
clay,11,84.1482,11.55,46.8,46.7735,39.5168,28.3967
